,Avg_Temperature,Year
0,7.9110000000000005,1823
1,8.8485,1828
2,8.811916666666667,1833
3,7.548666666666666,1838
4,7.783666666666668,1843
5,8.016833333333333,1848
6,8.459916666666667,1853
7,8.412833333333332,1858
8,8.446250000000001,1863
9,8.207416666666667,1868
10,8.063083333333331,1873
11,9.017166666666666,1878
12,7.942249999999999,1883
13,8.172833333333335,1888
14,8.170999999999998,1893
15,8.427916666666667,1898
16,7.977249999999999,1903
17,8.755583333333334,1908
18,8.552166666666666,1913
19,8.50125,1918
20,8.760333333333334,1923
21,8.876,1928
22,9.030583333333334,1933
23,9.471833333333334,1938
24,9.0035,1943
25,8.481666666666667,1948
26,9.530416666666666,1953
27,8.97016666666667,1958
28,9.079999999999998,1963
29,8.553249999999998,1968
30,8.934666666666667,1973
31,8.751416666666666,1978
32,8.912333333333333,1983
33,9.275333333333334,1988
34,8.867250000000002,1993
35,10.141166666666667,1998
36,9.75508333333333,2003
37,8.951416666666669,2008
38,9.486,2013
